date,title,source,url,fetched_at
2026-08-08,Arecanut Price Karnataka - Zee News,Zee News,https://news.google.com/rss/articles/CBMicEFVX3lxTE1XMElSc3NZSVMxamJGQ3BJUS1zTDE5dzVia3haQlE1SlFwNXJMc282NHRxd1N5LV9raUVmU2Q4ZFprWm82ZUJqdXlpdW5pTUhjNmZYTkpadjdWWFFzaGd3QjJDOTdlX1NkQUt6MmZPODQ?oc=5,2026-08-12T09:52:33+00:00
2026-08-08,Arecanut Price Karnataka - zeenews.india.com,zeenews.india.com,https://news.google.com/rss/articles/CBMicEFVX3lxTE1XMElSc3NZSVMxamJGQ3BJUS1zTDE5dzVia3haQlE1SlFwNXJMc282NHRxd1N5LV9raUVmU2Q4ZFprWm82ZUJqdXlpdW5pTUhjNmZYTkpadjdWWFFzaGd3QjJDOTdlX1NkQUt6MmZPODQ?oc=5,2026-08-09T09:27:01+00:00
2026-08-07,"CAMPCO Delegation Meets Amit Shah, Nirmala Sitharaman Over Arecanut Growers' Concerns - newskarnataka.com",newskarnataka.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNaDBWci1Nd0NwMmMwZGVlMjNtMV95TDR5ZFhuS0dPWUZoemF2S0RHSUVpWW1DbXV2V0pfdW1yZmJ6by0ySVN1Y20xT05KX0RXMUFDUFktVmh0MndRTndXWlMwbmFleXJCT0VMeWJ6VmZLYTg0amlvT1phSFZJZGNOQk9rbU44MFhFc1p1by1YQjhTVkdRelhhV3pkdUFOQ2o4WExNRmFMRjVJOFFfejdCQ2RqNHktRDJDZGF4bHBaTzFDcEU?oc=5,2026-08-12T09:52:33+00:00
2026-07-25,krishimaratavahini arecanut price - Zee News,Zee News,https://news.google.com/rss/articles/CBMifEFVX3lxTE5IRkt5a09YNVdiQ0lfR3J1U0pwdE9LUEZuRXZYY1ZOV1JGemNJa2ticDNtSnpBLVlxRWdYbVdBU0QxOFJxNE9ZbEFrY013WWhSMHNRRlN5SE9sVTdJd0tiXzNMZDZkWF94QndpVXlYZERJeW9ob2pBaHNEV24?oc=5,2026-08-03T16:00:20+00:00
2026-07-08,Maharashtra halts checks on Karnataka arecanut trucks - timesofindia.indiatimes.com,timesofindia.indiatimes.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNjVWWUhqcUdKNG1SNlNJNjN2ZTJXX2NueWRCUTR4enozRFFXMGliN1pTUXBUR0NIMUpVbC1EWDhXcHRUSURuM2w4dWpIeE9VTWcxVEFGcENRdmhHSmVXVkt2cHF4eGN3MTdpNkZkMkpZdU9QRllIX0FRenc0YnFIT1FPWXJ4bWdHZ0g1RXFnUGxkLVJiOUJwZUphUFVJaUJUcW9IMG9CSVVwclVLTzJ6RjdqdU9ETzZxandOVURKRW9RN3NVVnfSAcsBQVVfeXFMTmFCblpIVlR6ZW1RaFlFb25jdEpXVUFldmRzMlRWek9FR1UyX0plczdUcmxTTGRRaUN3ZUlhVEJlSUNzdHBDM1lBREhKcXpEcTU0MWI0bUdfbUVRVmhDblhyQWtoaVk1a1AtY3NmdnAtc2VESHhScldnOEs4Tm1kRE9BWHpyMnJQSF9MbE9mZXlnTUkyeEl0RFB5UWtSeVo1MGRXNVA2cGRHUmtWZm51TFBYRlIwSG91QVZlTzNCRkhMbXBNdDZwMmxUaG8?oc=5,2026-08-12T09:52:33+00:00
2026-07-08,Maharashtra halts checks on Karnataka arecanut trucks - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNjVWWUhqcUdKNG1SNlNJNjN2ZTJXX2NueWRCUTR4enozRFFXMGliN1pTUXBUR0NIMUpVbC1EWDhXcHRUSURuM2w4dWpIeE9VTWcxVEFGcENRdmhHSmVXVkt2cHF4eGN3MTdpNkZkMkpZdU9QRllIX0FRenc0YnFIT1FPWXJ4bWdHZ0g1RXFnUGxkLVJiOUJwZUphUFVJaUJUcW9IMG9CSVVwclVLTzJ6RjdqdU9ETzZxandOVURKRW9RN3NVVnfSAcsBQVVfeXFMTmFCblpIVlR6ZW1RaFlFb25jdEpXVUFldmRzMlRWek9FR1UyX0plczdUcmxTTGRRaUN3ZUlhVEJlSUNzdHBDM1lBREhKcXpEcTU0MWI0bUdfbUVRVmhDblhyQWtoaVk1a1AtY3NmdnAtc2VESHhScldnOEs4Tm1kRE9BWHpyMnJQSF9MbE9mZXlnTUkyeEl0RFB5UWtSeVo1MGRXNVA2cGRHUmtWZm51TFBYRlIwSG91QVZlTzNCRkhMbXBNdDZwMmxUaG8?oc=5,2026-08-11T09:47:29+00:00
2026-07-01,Arecanut growers seek govt intervention over copper sulphate shortage - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOTVBzOFJTTnZpLVRCeGRlVUtUVEhWT3U5akpQeTJXbkpLMGg3T1VoYzdhVzNYWktwWHJmN3RRblhyRE03SkYzWFZaYnNHaWpzWDBOWWZOcmlNNTFuVG5YY3JGeU5NNmR6MXBlRFlaWWRLcWVoTlZhcFpUdnNYRk52dmlwU25tN1VfajJUam5hNFJMYnZCeU5FN2lWU1ZFV2NTM1NaWG5Tc2l2YVU0ckNvYUJhaHZiOFpBeUVlUG5Vc0dXbnpJWmZ2QjdMOWtaTDEwZFNNeTBhdmNQLUFoWGhV0gHkAUFVX3lxTE56dDN5NHhyaUdHY1dIVmhLNWhPaDBod29fV2VvNTh2Ym1VM21QamZuY2NQNFFNakpaeHVSMFVQbUZieTNONjNtWWZma25VM0JFUXR0dGJLcDFQOTR6ek9NQ2VrUGh0ZkJDRVBiRFVYMnBPTjhEcEp2X01hLThrR0tCZVVrbEUybzhZRzRaZlpjSmJCTkJNX1ZPb01BVnN4SVlmOHlLSFNRRDJXc1JEd0NTVndnTVA5RmxiUTdweDFoWlNlT0h3OFJQY1dZcGFmcGg2MGhDMzhSZ3JPTWFsTGRaVUdSMA?oc=5,2026-07-24T15:12:30+00:00
2026-06-24,Jnanendra urges calm amid arecanut trade jitters - timesofindia.indiatimes.com,timesofindia.indiatimes.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxNd0Nla3V3dlFVY201bWNXVGRmcGEzRGhaWHlUODhiMnlSRmU2QzBiRVkxeW9JZmlqbFVXVDRtRWFXZS1VaFlDMzFSUU4tWjhObmRISWpvN1ZHeTA3TTJObEEzZms5ZjV6ak5ubjl2ejVZWG1kUWtIU09NdzY2MG5KV1V5RVo5aGtzUk9HbUhHQmxxVGtoNV9wX3E5N3l4R1AxbEpaTm5ZeV84eVFjNXQ4V0hQbUZQSVlGNlJOakcwMNIBxAFBVV95cUxPWkxmTnNvREw2VllpRDRJVS1DVlVZSnF5S05paTZLRXc3Tk5kMWJCMllLM1dhTGt3X25QMEdCMU5xWXlfX3EzV1NHZTRIOXpXbWhMbjFHeUZzWU1JcTdxYVR3bGIwbmZLWkdzVEJUQU16cU5TVWpfUTJvVUp6M0kzX2tyOFZyZ3Z6UzVIaHJ1aU9oUENyVnRTZjdsUTZPZFRSYkZXNUZSdHAycURrNm9RLVNXNmNHMEQwMzU4NVJpOU45Mmpk?oc=5,2026-08-12T09:52:33+00:00
2026-06-24,Jnanendra urges calm amid arecanut trade jitters - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMivwFBVV95cUxNd0Nla3V3dlFVY201bWNXVGRmcGEzRGhaWHlUODhiMnlSRmU2QzBiRVkxeW9JZmlqbFVXVDRtRWFXZS1VaFlDMzFSUU4tWjhObmRISWpvN1ZHeTA3TTJObEEzZms5ZjV6ak5ubjl2ejVZWG1kUWtIU09NdzY2MG5KV1V5RVo5aGtzUk9HbUhHQmxxVGtoNV9wX3E5N3l4R1AxbEpaTm5ZeV84eVFjNXQ4V0hQbUZQSVlGNlJOakcwMNIBxAFBVV95cUxPWkxmTnNvREw2VllpRDRJVS1DVlVZSnF5S05paTZLRXc3Tk5kMWJCMllLM1dhTGt3X25QMEdCMU5xWXlfX3EzV1NHZTRIOXpXbWhMbjFHeUZzWU1JcTdxYVR3bGIwbmZLWkdzVEJUQU16cU5TVWpfUTJvVUp6M0kzX2tyOFZyZ3Z6UzVIaHJ1aU9oUENyVnRTZjdsUTZPZFRSYkZXNUZSdHAycURrNm9RLVNXNmNHMEQwMzU4NVJpOU45Mmpk?oc=5,2026-08-11T09:47:29+00:00
2026-06-23,"Hike minimum import price of arecanut to ₹451 per kg, areca growers urge Centre - The Hindu",The Hindu,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQMnBtUXllVnk0UXFYaTZ0M2djaHUtV2RkNXdyc2EzR3hKRXRMQ2FMX292OHZmSnlXd01SRFFCcmhKY0ZhaXBjTWZraGZsbnprTkYtWENHU0dUN0dxcWx4U3Z2R0l0TW9VWHVQa0REeEczY3ZjRlRTRC12UXhYblhfR0JTQlJiQUhMT29qM1pRRGZRSXhVOGJqbXpZS3NwVmpFa3Foa0dTT014dVdTQTdYcGNETWpYc2RHWm5CZUowT1YxNnk2QXR6T3dsUV9CdWlZQkl6eUlMZ1lDVjcy0gHjAUFVX3lxTE10NWl6ekJ1NHB4TENuSmxtdHhHekdWeHp0aDY5WlJoUjN1eEw3SGFCcVR3eTJ3Y21YSWF1NlZtTWJMNnB4YmRFMjVaamVYNmJuek5zMHhIbU9peGhXclluLTNZTDVNenl5ZlBVM2dKNElxVkQtTGV6b1pZYTVlZy1DSkdOOU1zbFNTakVrVTZvS2V4NER4YWFQYjg2dnJEV1h3YTJiNElGeUVfNVpqZjYtUGQ1NXpwOXo5OEJwTGE1TTk3WEFwNXhYX2hjcVJ6WVZ5b2pMVmVBSXJxU1l1VFVVUkpj?oc=5,2026-08-12T09:52:33+00:00
