date,title,source,url,fetched_at
2026-07-10,India approves MSP procurement for copra and Totapuri mangoes - FreshPlaza,FreshPlaza,https://news.google.com/rss/articles/CBMirwFBVV95cUxNSlduc0NCcFNicEZuUWFzeF9LVHh3c3pWLTBzYjRlZzhVMkIzTi1pRDU2MzhnOUw1UjBMUmVBSU9tR2c1T3ZnN1k3RkltQ0djT215bjRDQkE3SDRsVWZnOHUzd1VzcHBJOWpmaDlYQWJ0UVVuX0xrblpsZnRudmtrN0ROY3FpYzVlSHUybHNYMm1ZNjlIS3VnMkY3aGJ3UEx3RlZrUWdCVFJPbEtheHVr?oc=5,2026-07-18T10:07:45+00:00
2026-07-09,India Approves Large-Scale Copra and Totapuri Mango Procurement to Support Tamil Nadu Farmers - Global Agriculture,Global Agriculture,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNLUJvS1ZLMFJHY19JQ2Y2YlY5U3c3WkpDdE5XcjBxdkR0LXFDMDhDMFR2R1RIZnZ6ZHJnVTl4SWFuTjB2Z19fUlo3RUZ4VFMtREdtVkxKVnd4QjI0aV8xaldWOWZnaU5CVW9CeVEzcGM0bGVWQjl4cDJhdFcxLVhXZ0gxQVpIaE5hUUxOckdkblkzMXBCS05pTjJGWHp6MkRnd0g0QnQxaXcxV1EtcXVLQjlSX2k2ekk4MmdCQ2c5RncxQkxZcTg1ZU00UnNlWkFhTjRLOGhuZHJFQQ?oc=5,2026-07-18T10:07:45+00:00
2026-07-09,Marico expects strong operating profit growth in Q1 as copra prices fall 45% from peak - MSN,MSN,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPQ0dncjA5cGJKcmIyTDQ1Yl9lVWNmYXBEbHRTNElvTDV1U3RhZ0FkQXI4Zm9wV3ZiVTRLWEZsSnZpdHJRYXczSzZYTGlWSXBhanpxM2FWS3FQZUE1Wm1ER09XWVZ2dl91SkQwMy1lNGROWk1oM1dyVExsbTZzamNEYlc0SHUyZjB1RTI2T0xsT0NqS19pTE1tSlRSaUY1QURzbE5mT0o4YktfVEtXQmctd2JyNVR4R05ER3lyZmREb0owYnZDN1EyU3BGVDFLUWp0ZElPUXQ5dllOYk9YSEJlRDRIS3pFcG8?oc=5,2026-07-12T14:39:43+00:00
2026-07-06,Corporate oil mills manipulate copra prices in west Tamil Nadu: Farmers - DT Next,DT Next,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOUVVER0M3Q1FsN3VSWWcwMjJMZTVNa1dCMlVEM0kwMkUydW5oTjFQZktycEpMQlI5dXVkQ0FESXNPQVR2bGx0SXhOLW9aS3BXdUF3MlFxdFktQWNTOFliajk5QUhzYTctcVVDQXVic1RwNVhqdlhvMklUVDBHbTJpNGI2X3RpN0ZxQk9zSmJVNG5nV2NjNnlPRTJYNXFsXzlYQW1oUnJhdkRCSEnSAbgBQVVfeXFMT1dPQjBzdE5aQmROcXhiU1NSWTNxYnhRLXBGZXZlX2toYktUVE1ZZ1dfeWdaOFZBVk1mNDV5Mk9JcmNhSXp6RFF0Uko2M1hhNWxlT1V1Q3Q5Y3RTYU9xYm80U0oxc2VZMmJ2ckh5Q3JVai1iT1B3RDdxMWV0TTFHZzJzVng4VEdJYzg4UllWUFAyZVhVTDAzVmI4cEFjdVRVRHFzUHNRNUN3SWxodlpkeldlS0xpYWtNQQ?oc=5,2026-07-10T15:44:05+00:00
2026-07-02,Marico expects strong operating profit growth in Q1 as copra prices fall 45% from peak - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQZHEtMC10eXdkbjFuR01KcFktX3Q5c1Fabmo4V3o2aXl0dWRhZkNaaG02bmZpOHBHb2JxMU5qcDRuTDBMd2QtR0ViTGJUclRCMXY5NDBtODRnckRhYWJDdlJJaTVubTBjeUNZZS1VdFBBbWhHMks2NC0wZnJsX2JNN0hsVWlUcERWSGZwMmt6Wm9CTkRyWm9ibnVqT092dGxoZWM0WFJLNTgxNXJYRjNmdDFiSHZDcUJHcmtBTnR2S3d0d3ItTTJSSHFMSnQwUHVXQkVlQkt6elRLMW1GWkhwSGhGWXFuYWtqQzkzdGZkakfSAfYBQVVfeXFMTUJUd0k5b0NKZ1BoTktQUHhHVWg3cFpVbjl4Ym1SWEJpZTh3QkNOVzJfdnRzbVVfSHRFLTA5TkFEYkZGSkJNQlROTzFqZHowam1mcjlVTTM3SFp1V0E5MVpId2hncUk4UDF3WVo1VE1aNEVpRXBicTF2WUxxTjFSMWw1eFBPS0Y0NlA3NkNoVDVrVUg0azZNZFN2djZON0pEZjlEMnd4Smtvemc1aEpCWVNuaTgyT0hKVTByYk9NRlhyS0NrYTgzQ1dFOHo1aGUzZFVkYTBsNXZJOENMczFCUGtWWW9MYUFrVkN3VkdjWWl0ZnNnSFF3?oc=5,2026-07-18T10:07:45+00:00
2026-07-02,"Marico Ltd: India Volume Growth Accelerates to Multi-Quarter High, Revenue Outlook Strong - Whalesbook",Whalesbook,https://news.google.com/rss/articles/CBMijAJBVV95cUxQT1dXbnBYOEhZY2xRaVNIc2t6Rk9aTWd3WU5NWDQtajZ2blRaSFZfR0twTU9sY0RYOWEyQ0NSSnY4UGVrTTB0NVFuSEU0WHVlZDZWSUVLQUpGTS1XUXhPZFRNWHhFWTN5R295NUhMM2Y4bTBOYy1iTGVfb3pwOG9VN1cwdmRZZHZpVkx6YUJvWVFlRXpBT2M0QkhNZ0VwQmNBWlRRWFVOTHZJaGJZa2FxOHhaSkdTWWI5cFA0OVhrOXNRSkY1TU5fZFRTUW5LdVJycWVad1hjazdOQlotcVNYM2poeDJMZ0pCOVB4STZydXFwdFdDVTZHM3NqSTZqSlFzbVJaLUpscUtjNEtI?oc=5,2026-07-15T10:40:59+00:00
2026-06-25,"Coconut oil, copra prices slide sharply as arrivals improve - BusinessLine",BusinessLine,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPOXRJc0NxQ3B4TVZTcDJBYWRCTlZJakpwY2FFNUhoRmZ0ckdYT2RtYzNab3J4QzktaFBFemxrNTd1QzVRbFlpdjdlTWdNWUdrQ2V2a3RIamE5U3h6R0p2ZmRCakJOc1NQWXIxRlY3VXlHYkh2WWZOT3lOSzl4MlhUT2lLcVVNYjk4M3I3YllLZlNfZ2wwNEMxY1RFTmFmQWVKS0ZsSy12dW1uUjFBNlE4RW5LUk13ZXktU1otRTVhNklQdU51V3dwdzktT2NzdVBwMi1n0gHaAUFVX3lxTE9LdVlicWl2dlQwVVBPcG1uRHkzWUFMMWdrdHVueFpaYzQyRks0ZEhzM2NaS1FpWWhJMEJGV003Q2gxUkM0cUhXZ2t3LVczU2VYUjBqd3JTcGh4X1VETkVBa2FHVS1LUXYzalNlU20tU0dneUVoMk15aWstejB5NE1zOTZDS2h1b0w5LTMyN1NBSTFYYlpmQTFXUmtGOFhEOTNKeGRzOEszNEhPMHJLM1YyV2FFVlVxcTVsQWVrVkJCRGw2V0p4Q2Vpd2FxbXlqSmFkR3c3WXBybC1B?oc=5,2026-07-18T10:07:45+00:00
2026-06-17,Marico Cuts Parachute Oil Price By 17% As Copra Costs Fall; Jasmine Hair Oil Rate Up - NDTV Profit,NDTV Profit,https://news.google.com/rss/articles/CBMixgFBVV95cUxOcDVGbHBwaE9DU0NLZWJQQ3hZMm9OQ1lyQzhjS05RNFVSYjZvbklTVnk1bmJqQXl6aWZjbHZISEZKOHNvanBaSUVoTU9KR211NEpqLVRwTVVjUmR1UmVNUFIyd21rVi1KR0lJNkRhRUFrcS1kT3RQc3pFXzlrX29MTjJrQnlyWkdJMG5NbHFyajVleHdfQUxxc2NZeGZsbXJKa2JHU0VIeGtYcDZHUFVWcnVVODctZTBCa3JRR3h3LXlpY20tQUHSAc4BQVVfeXFMUGI5WWE5OVZHSHZqclpIbmEzdS1PZEtWNlM4YzU1SjR6X0tUSnBCYlZ1U0FRZjhGeGlaNHFlbFZjUkt1bDcxekl1a1Nkc2RETU5VaVliM0ZvOTlGQlliWS1YSHVsa0FQRFBYTDdfV2xOQTAyUFNKWWZiT3pBYjREX1doTlJwVW9LWEdhbzktNUV4cm1mSHd4Y3BOZUNxUWtidEp6YU1lT0RXdmdjV2hkZzZyelZzcjcyZFpGNHdFT2J4cFp5VUdPWU9ZVlJHc3c?oc=5,2026-07-18T10:07:45+00:00
2026-06-17,Copra prices fall below MSP in Kerala; farmers demand ₹130 Minimum Support Price - Mathrubhumi English,Mathrubhumi English,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOWU11SDZiVUJ2enJsVUc5ckwtczl3SHplejZDaE9WZllJeUY0WHhUZXM4STctYURqUW1CWGZpX2FaVkNvXzlvYWxYeXRyX3hxeTdCLTdpU0JYS3RYZjl6QXVxLU9CVzhyTExDWWNQdjdITDM4TjFXTzdLZ1BiQWRaTXAwNkN1SGJxY3EycHl1dTRxU3RWa1Q0ZXJfWHU5MkFjRVZfZEo1VGo4Y2ZSRlY3Zm53ZzZ3U3Q5ZUZvWThyajZwNTBMR05EWHJhVGQtRUxEOVVTSG90WdIB3AFBVV95cUxQV2FzNEF4Ny1lT3RTNlgwOHNuVGJ1SEVFMGxHaEQ4YmpTQWs5azJKOGdvZEtldHZJRk1MT3B3MHVZcWtDTzIzSFFiU1JEY1JiQ1g5UTRMTlZockh6RkM2RXF6d3FNYy13Ui1KV3VYcjFRcm9JaE9EMmpTMVJuaHlOamJtZklTSHBkWlVNVVBUbThwWks0bEUxOE9uSW0ybHhJM1VzNlVST0ZBN2VIeGZ6aVZzb1ZwQ29NWXRhb1VUVUh2QmNlUDlONExSdDdxbzVQR0cwMi1YenNSbFRZ?oc=5,2026-07-18T10:07:45+00:00
2026-06-05,Tamil Nadu's coconut farmers in distress over delay in purchase of copra - DT Next,DT Next,https://news.google.com/rss/articles/CBMirAFBVV95cUxOYlZCbHMyeHNsQ1o2Nlc1ZVpsUHdpV3F3MkoxaHhvMkJ1Tm5ZM09lY01oY3htVVh0MU5pUmt1dVdVcEhaTzRIM3BrWkpGYUFEcDFvRlFKLWF1UndpblJiNmZXZVhJYkRNWkhXOVAtdHVMenhLaU9YVk5oakdlTnp6VEtRT21yVGRmcVJwTnRYa25UbEMzMm9vVTFObnFrZEpzTUV3MEQwbnFWdDRk0gG6AUFVX3lxTE5YS0tWMk1Sd2pmdWUtLTR5Rnp3VWRXQU1jWGJIc1FCSFI1RUZka0hyTDNLV0xyVWhJSld3S0piUi1FSlRQVmo1WjlWNURUSDJQOEQyXy1wZWRBWk5IRFoxbjROSkIxM284WUs5YlA3SGI1VlBqQ2JnTjRvdUE5UG9lNVZIYl9vSnVxQWt2NUQyVnZ5YTF6bW5EYVRTbWVwelp3ckFzM0wwWmY5X3dqb1JiQURVc3ZLRFl0dw?oc=5,2026-07-18T10:07:45+00:00
