date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2021-07-10,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Kasargod,Manjeswaram Market,copra,Copra,FAQ,11500,11600,11550,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Kannur,Taliparamba Market,copra,Copra,FAQ,10000,11000,10500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Kasargod,Manjeswaram Market,copra,Copra,FAQ,11500,11600,11550,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10400,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Manjeswaram Market,copra,Copra,FAQ,10000,10100,10050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Neeleswaram Market,copra,Other,FAQ,11400,11800,11600,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kannur,Taliparamba Market,copra,Copra,FAQ,9000,10000,9500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Kasargod,Manjeswaram Market,copra,Copra,FAQ,10000,10100,10050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Kasargod,Neeleswaram Market,copra,Other,FAQ,11200,11600,11400,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10400,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Kannur,Kuthuparambu Market,copra,Other,FAQ,11000,12000,11500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Kasargod,Neeleswaram Market,copra,Other,FAQ,11200,11600,11400,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kasargod,Kanjangadu Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kannur,Kuthuparambu Market,copra,Other,FAQ,10000,12000,11000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kasargod,Manjeswaram Market,copra,Copra,FAQ,10000,10100,10050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kasargod,Neeleswaram Market,copra,Other,FAQ,11200,11600,11400,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-15,Kannur,Taliparamba Market,copra,Copra,FAQ,9000,10000,9500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-16,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-16,Kannur,Kuthuparambu Market,copra,Other,FAQ,10000,12000,11000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-16,Kasargod,Manjeswaram Market,copra,Copra,FAQ,10000,10100,10050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-16,Kannur,Taliparamba Market,copra,Copra,FAQ,9500,10500,10000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-17,Kasargod,Kasargod Market,copra,Other,FAQ,10000,10500,10200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-17,Kasargod,Manjeswaram Market,copra,Copra,FAQ,10000,10100,10050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
